time,precip,snowfall,temperature,temperature_cat
2016/1/1,0,0,38.1,40
2016/1/2,0,0,34.2,30
2016/1/3,0,0,37.1,40
2016/1/4,0,0,26.2,30
2016/1/5,0,0,19.1,20
2016/1/6,0,0,30.4,30
2016/1/7,0,0,36.9,40
2016/1/8,0,0,38,40
2016/1/9,0.01,0,43.3,40
2016/1/10,1.49,0,50.2,50
2016/1/11,0,0,31.1,30
2016/1/12,0.02,0,31.9,30
2016/1/13,0,0,24.3,20
2016/1/14,0,0,29.5,30
2016/1/15,0.01,0,40.9,40
2016/1/16,0.22,0,44.9,40
2016/1/17,0.05,0.5,33.9,30
2016/1/18,0,0,24,20
2016/1/19,0,0,21.5,20
2016/1/20,0,0,30.4,30
2016/1/21,0,0,29,30
2016/1/22,0.02,0.2,24.6,20
2016/1/23,1.23,18.2,24.9,20
2016/1/24,0.04,0.7,27.1,30
2016/1/25,0,0,31.9,30
2016/1/26,0,0,39.6,40
2016/1/27,0,0,40.9,40
2016/1/28,0,0,35.2,40
2016/1/29,0,0,36.1,40
2016/1/30,0,0,32.7,30
2016/1/31,0,0,42.4,40
2016/2/1,0.04,0,49.5,50
2016/2/2,0,0,43.2,40
2016/2/3,0.64,0,49.4,50
2016/2/4,0,0,51.7,50
2016/2/5,0.43,1.7,34.8,30
2016/2/6,0,0,34.5,30
2016/2/7,0,0,38,40
2016/2/8,0.01,0.1,33.5,30
2016/2/9,0,0,30.4,30
2016/2/10,0.01,0,33.7,30
2016/2/11,0,0,23,20
2016/2/12,0,0,20.1,20
2016/2/13,0,0,16.8,20
2016/2/14,0.14,2.6,8.6,10
2016/2/15,5.86,44.6,21.4,20
2016/2/16,0.81,0,45.4,50
2016/2/17,0,0,36.8,40
2016/2/18,0,0,30.2,30
2016/2/19,0,0,29.9,30
2016/2/20,0,0,49.8,50
2016/2/21,0.07,0,50.6,50
2016/2/22,0,0,43.6,40
2016/2/23,0.22,0,36.1,40
2016/2/24,0.85,0,44.1,40
2016/2/25,0.2,0,48,50
2016/2/26,0,0,32.9,30
2016/2/27,0,0,33.2,30
2016/2/28,0,0,47.4,50
2016/2/29,0.05,0,50.4,50
2016/3/1,0,0,44.6,40
2016/3/2,0.15,0,42.3,40
2016/3/3,0,0,30.2,30
2016/3/4,0.08,0.8,32.5,30
2016/3/5,0,0,33.5,30
2016/3/6,0,0,37.1,40
2016/3/7,0,0,46.7,50
2016/3/8,0,0,52.7,50
2016/3/9,0,0,59.8,60
2016/3/10,0,0,70.1,70
2016/3/11,0.03,0,58.3,60
2016/3/12,0,0,49.2,50
2016/3/13,0.01,0,55.4,60
2016/3/14,0.41,0,44.7,40
2016/3/15,0,0,49,50
2016/3/16,0.02,0,53.4,50
2016/3/17,0.02,0,51.9,50
2016/3/18,0,0,50.1,50
2016/3/19,0,0,41.4,40
2016/3/20,0.04,0,35.9,40
2016/3/21,0.08,0,39.1,40
2016/3/22,0,0,44.3,40
2016/3/23,0,0,57.1,60
2016/3/24,0,0,47.8,50
2016/3/25,0.06,0,57.7,60
2016/3/26,0,0,44.2,40
2016/3/27,0,0,45.3,50
2016/3/28,0.31,0,47.9,50
2016/3/29,0,0,46.9,50
2016/3/30,0,0,44.1,40
2016/3/31,0,0,59,60
2016/4/1,0.09,0,67.1,70
2016/4/2,0.13,0,53.7,50
2016/4/3,0.1,0,38.5,40
2016/4/4,0.46,0,37.8,40
2016/4/5,0,0,32.4,30
2016/4/6,0,0,38,40
2016/4/7,0.1,0,52.7,50
2016/4/8,0,0,45.3,50
2016/4/9,0.07,0,38.8,40
2016/4/10,0,0,39.8,40
2016/4/11,0.03,0,51.3,50
2016/4/12,0.17,0,52.6,50
2016/4/13,0,0,46.8,50
2016/4/14,0,0,49.7,50
2016/4/15,0,0,50.6,50
2016/4/16,0,0,52.6,50
2016/4/17,0,0,56.4,60
2016/4/18,0,0,63.8,60
2016/4/19,0,0,64.3,60
2016/4/20,0,0,57.3,60
2016/4/21,0,0,60.8,60
2016/4/22,0,0,70.7,70
2016/4/23,0.2,0,63.9,60
2016/4/24,0,0,55.1,60
2016/4/25,0,0,58.4,60
2016/4/26,0.26,0,53.5,50
2016/4/27,0,0,51.6,50
2016/4/28,0,0,51.3,50
2016/4/29,0.05,0,50.9,50
2016/4/30,0,0,52.7,50
2016/5/1,0.2,0,48,50
2016/5/2,0,0,50.9,50
2016/5/3,0.63,0,52.6,50
2016/5/4,0.04,0,49.7,50
2016/5/5,0,0,51.4,50
2016/5/6,0.52,0,49.8,50
2016/5/7,0.03,0,52,50
2016/5/8,0.15,0,55.8,60
2016/5/9,0,0,61.9,60
2016/5/10,0,0,57.1,60
2016/5/11,0.01,0,63.4,60
2016/5/12,0.01,0,66,70
2016/5/13,0.19,0,61.6,60
2016/5/14,0.01,0,64.3,60
2016/5/15,0,0,51.8,50
2016/5/16,0,0,53.4,50
2016/5/17,0,0,59.1,60
2016/5/18,0.02,0,58.2,60
2016/5/19,0,0,60.7,60
2016/5/20,0,0,64.5,60
2016/5/21,0.08,0,60.9,60
2016/5/22,0.14,0,60.6,60
2016/5/23,0.04,0,65,70
2016/5/24,0.12,0,65.4,70
2016/5/25,0.01,0,75.5,80
2016/5/26,0,0,79.6,80
2016/5/27,0,0,77.3,80
2016/5/28,0.01,0,81.3,80
2016/5/29,0,0,77.4,80
2016/5/30,1.24,0,73.7,70
2016/5/31,0,0,76.3,80
2016/6/1,0.02,0,75.3,80
2016/6/2,0,0,67.8,70
2016/6/3,0.04,0,66.3,70
2016/6/4,0.25,0,72.6,70
2016/6/5,0.86,0,67.7,70
2016/6/6,0,0,75.4,80
2016/6/7,0.05,0,76.1,80
2016/6/8,0.47,0,61,60
2016/6/9,0,0,62.7,60
2016/6/10,0,0,67.2,70
2016/6/11,0.01,0,74.9,70
2016/6/12,0,0,77.2,80
2016/6/13,0,0,65.1,70
2016/6/14,0,0,69.5,70
2016/6/15,0,0,74.4,70
2016/6/16,0.12,0,71.8,70
2016/6/17,0,0,69.7,70
2016/6/18,0.01,0,73.2,70
2016/6/19,0,0,74.1,70
2016/6/20,0,0,74.3,70
2016/6/21,0.01,0,80.7,80
2016/6/22,0,0,77.7,80
2016/6/23,0,0,75.1,80
2016/6/24,0,0,74.3,70
2016/6/25,0,0,73.5,70
2016/6/26,0.07,0,75.2,80
2016/6/27,0.15,0,73.9,70
2016/6/28,0.47,0,71.1,70
2016/6/29,0.07,0,75.2,80
